frequency_THz_declared,omega_J_legacy,phdos_returned_in_legacy_states_per_THz
1.409999999999999920e+00,9.342758911499998338e-22,1.246130325714285645e-03
1.415000000000000036e+00,9.375889262249999253e-22,1.256451121951219748e-03
1.419999999999999929e+00,9.409019612999998286e-22,1.266926266666666429e-03
1.425000000000000044e+00,9.442149963749999201e-22,1.277512829268292885e-03
1.429999999999999938e+00,9.475280314499998235e-22,1.288232835390946138e-03
1.435000000000000053e+00,9.508410665249999149e-22,1.299084512195121865e-03
1.439999999999999947e+00,9.541541015999998183e-22,1.310070652173912732e-03
1.445000000000000062e+00,9.574671366749999097e-22,1.321210896341463471e-03
1.449999999999999956e+00,9.607801717499998131e-22,1.332477450160771387e-03
1.455000000000000071e+00,9.640932068249999046e-22,1.343969975609755722e-03
1.459999999999999964e+00,9.674062418999999960e-22,1.355704817073170735e-03
1.465000000000000080e+00,9.707192769749998994e-22,1.367681268292682707e-03
1.469999999999999973e+00,9.740323120499999908e-22,1.379923975609756524e-03
1.475000000000000089e+00,9.773453471250000823e-22,1.392384121951219939e-03
1.479999999999999982e+00,9.806583821999999856e-22,1.405085878048780530e-03
1.485000000000000098e+00,9.839714172750000771e-22,1.418030243902439506e-03
1.489999999999999991e+00,9.872844523499999805e-22,1.431215219512195535e-03
1.495000000000000107e+00,9.905974874250000719e-22,1.444717463414635318e-03
1.500000000000000000e+00,9.939105224999999753e-22,1.458421618421052975e-03
1.505000000000000115e+00,9.972235575750000667e-22,1.472266682926830174e-03
1.510000000000000009e+00,1.000536592649999970e-21,1.486237837837837798e-03
1.515000000000000124e+00,1.003849627725000062e-21,1.500336730061350033e-03
1.520000000000000018e+00,1.007162662799999965e-21,1.514579090909091508e-03
1.525000000000000133e+00,1.010475697875000056e-21,1.528920573170732249e-03
1.530000000000000027e+00,1.013788732949999960e-21,1.543386150197628747e-03
1.535000000000000142e+00,1.017101768025000051e-21,1.557975036585366535e-03
1.540000000000000036e+00,1.020414803099999955e-21,1.572699384615385216e-03
1.544999999999999929e+00,1.023727838174999858e-21,1.587552908536585044e-03
1.550000000000000044e+00,1.027040873249999949e-21,1.602528859813083994e-03
1.554999999999999938e+00,1.030353908324999853e-21,1.617683390243902048e-03
1.560000000000000053e+00,1.033666943399999944e-21,1.633021908536585283e-03
1.564999999999999947e+00,1.036979978474999848e-21,1.648563668711655735e-03
1.570000000000000062e+00,1.040293013549999939e-21,1.664278780487804532e-03
