lambda,time_zeta,r_patch,current,voltage_patch,voltage_port
1.0,1.86,0.09693587137501737,0.7168376314239652,0.0694872804364856,0.28316236857603483
1.0,1.862,0.09654890234372934,0.7172647906532807,0.06925112822737907,0.28273520934671925
1.0,1.864,0.09616347809693232,0.7176915675091489,0.06901571733251906,0.28230843249085114
1.0,1.866,0.0957795924678303,0.7181179612764818,0.06878104567489056,0.28188203872351825
1.0,1.868,0.09539723931424521,0.7185439712457652,0.06854711118274039,0.2814560287542348
1.0,1.87,0.0950164125185186,0.7189695967130366,0.06831391178955884,0.2810304032869634
1.0,1.872,0.09463710598741375,0.7193948369798635,0.06808144543406158,0.2806051630201365
1.0,1.874,0.09425931365201827,0.7198196913533222,0.06784971006017179,0.28018030864667776
1.0,1.8760000000000001,0.09388302946764689,0.7202441591459764,0.06761870361700226,0.2797558408540236
1.0,1.8780000000000001,0.09350824741374475,0.7206682396758557,0.06738842405883781,0.2793317603241443
1.0,1.8800000000000001,0.09313496149379115,0.7210919322664344,0.06715886934511782,0.2789080677335656
1.0,1.8820000000000001,0.09276316573520353,0.7215152362466106,0.06693003744041887,0.2784847637533894
1.0,1.8840000000000001,0.09239285418924201,0.7219381509506848,0.06670192631443761,0.2780618490493152
1.0,1.8860000000000001,0.09202402093091401,0.722360675718339,0.06647453394197361,0.27763932428166105
1.0,1.8880000000000001,0.09165666005887974,0.7227828098946157,0.06624785830291269,0.27721719010538426
1.0,1.8900000000000001,0.09129076569535748,0.7232045528298975,0.06602189738220995,0.2767954471701025
1.0,1.8920000000000001,0.09092633198602974,0.7236259038798855,0.06579664916987331,0.27637409612011454
1.0,1.8940000000000001,0.09056335309994953,0.7240468624055793,0.06557211166094705,0.27595313759442075
1.0,1.8960000000000001,0.09020182322944702,0.7244674277732559,0.0653482828554954,0.2755325722267441
1.0,1.8980000000000001,0.08984173659003672,0.7248875993544497,0.06512516075858654,0.2751124006455503
1.0,1.9000000000000001,0.08948308742032479,0.7253073765259314,0.06490274338027635,0.27469262347406864
1.0,1.9020000000000001,0.08912586998191697,0.7257267586696877,0.06468102873559263,0.2742732413303123
1.0,1.9040000000000001,0.08877007855932675,0.7261457451729016,0.06446001484451934,0.27385425482709835
1.0,1.9060000000000001,0.08841570745988386,0.7265643354279313,0.0642396997319809,0.2734356645720687
1.0,1.9080000000000001,0.08806275101364325,0.7269825288322903,0.06402008142782671,0.2730174711677097
1.0,1.9100000000000001,0.08771120357329434,0.7274003247886276,0.06380115796681574,0.2725996752113724
1.0,1.9120000000000001,0.0873610595140707,0.727817722704707,0.06358292738860132,0.272182277295293
1.0,1.9140000000000001,0.08701231323365996,0.7282347219933879,0.06336538773771595,0.2717652780066121
1.0,1.9160000000000001,0.0866649591521143,0.7286513220726046,0.06314853706355636,0.27134867792739537
1.0,1.9180000000000001,0.0863189917117611,0.7290675223653471,0.0629323734203686,0.2709324776346529
1.0,1.92,0.08597440537711404,0.7294833222996409,0.06271689486723325,0.27051667770035914
1.0,1.922,0.08563119463478443,0.7298987213085274,0.06250209946805078,0.2701012786914726
1.0,1.924,0.08528935399339316,0.7303137188300445,0.062287985291527063,0.2696862811699555
1.0,1.926,0.08494887798348276,0.7307283143072067,0.062074550411158946,0.26927168569279325
1.0,1.928,0.08460976115742991,0.7311425071879859,0.06186179290521997,0.2688574928120141
1.0,1.93,0.08427199808935817,0.7315562969252914,0.0616497108567461,0.26844370307470855
1.0,1.932,0.08393558337505137,0.7319696829769515,0.06143830235352184,0.26803031702304847
1.0,1.934,0.08360051163186694,0.7323826648056931,0.06122756548806605,0.26761733519430686
1.0,1.936,0.08326677749864991,0.7327952418791235,0.06101749835761832,0.2672047581208765
1.0,1.938,0.0829343756356471,0.7332074136697103,0.06080809906412504,0.2667925863302897
1.0,1.94,0.08260330072442167,0.733619179654763,0.06059936571422591,0.266380820345237
1.0,1.942,0.08227354746776802,0.7340305393164135,0.060391296419240306,0.2659694606835865
1.0,1.944,0.08194511058962707,0.7344414921415975,0.060183889295153926,0.2655585078584025
1.0,1.946,0.08161798483500184,0.7348520376220354,0.059977142462605486,0.26514796237796456
1.0,1.948,0.0812921649698733,0.7352621752542134,0.05977105404687342,0.26473782474578655
1.0,1.95,0.08096764578111677,0.7356719045393648,0.05956562217786284,0.2643280954606352
1.0,1.952,0.08064442207641827,0.7360812249834512,0.059360844990092435,0.2639187750165488
1.0,1.954,0.08032248868419176,0.7364901360971441,0.0591567206226817,0.2635098639028559
1.0,1.956,0.08000184045349609,0.736898637395806,0.05895324721933794,0.26310136260419403
1.0,1.958,0.0796824722539528,0.7373067283994721,0.05875042292834364,0.2626932716005279
1.0,1.96,0.07936437897566391,0.7377144086328317,0.05854824590254384,0.26228559136716834
1.0,1.962,0.07904755552913025,0.7381216776252096,0.05834671429933353,0.26187832237479036
1.0,1.964,0.07873199684516996,0.7385285349105486,0.0581458262806453,0.2614714650894514
