kBT_over_gap,u_over_4N0gap2,du_dT_normalized,inverse_absolute_sensitivity,recovered_temperature
0.5168721461187215,0.18719430754526772,0.9860471198406504,1.0141503178485065,0.5168721461187213
0.5234703196347033,0.19374696396800137,1.00013107127847,0.9998689458989587,0.5234703196347033
0.5300684931506849,0.2003920605616942,1.014067853589492,0.98612730544638,0.5300684931506849
0.5366666666666667,0.20712864216673504,1.0278622706898208,0.9728929921018291,0.5366666666666666
0.5432648401826484,0.21395578507443044,1.0415190503555314,0.9601360624739812,0.5432648401826483
0.5498630136986302,0.22087259649609095,1.0550428358273676,0.9478288141881909,0.5498630136986302
0.5564611872146119,0.22787821398153424,1.0684381788467137,0.9359455884283481,0.5564611872146119
0.5630593607305937,0.23497180479592705,1.0817095339662741,0.9244625924053086,0.5630593607305936
0.5696575342465754,0.24215256526289788,1.0948612539933475,0.9133577394876703,0.5696575342465753
0.5762557077625572,0.24941972008096336,1.1078975864368912,0.9026105050161716,0.5762557077625572
0.5828538812785389,0.2567725216194991,1.1208226708418403,0.8922017960690504,0.5828538812785389
0.5894520547945206,0.26421024919975716,1.133640536905412,0.8821138336582236,0.5894520547945206
0.5960502283105024,0.27173220836577044,1.1463551032804276,0.8723300460201071,0.5960502283105023
0.602648401826484,0.27933773014939006,1.158970176980136,0.8628349718244211,0.6026484018264839
0.6092465753424658,0.2870261703331667,1.1714894533076285,0.8536141722629781,0.6092465753424658
0.6158447488584475,0.29479690871430475,1.1839165162407874,0.8446541511011558,0.6158447488584475
0.6224429223744293,0.3026493483724871,1.1962548392108538,0.8359422818800721,0.6224429223744292
0.629041095890411,0.310582914943982,1.2085077862191957,0.827466741549502,0.6290410958904109
0.6356392694063927,0.31859705590409626,1.2206786132427505,0.8192164498921509,0.6356392694063926
0.6422374429223745,0.32669123985973153,1.2327704698839388,0.8111810141705833,0.6422374429223745
0.6488356164383562,0.3348649558535235,1.2447864012257053,0.8033506784901642,0.6488356164383562
0.655433789954338,0.3431177126808016,1.2567293498566878,0.7957162774260311,0.6554337899543379
0.6620319634703197,0.3514490382203842,1.2686021580354654,0.7882691935102666,0.6620319634703196
0.6686301369863015,0.35985847878003885,1.2804075699664068,0.7810013182179455,0.6686301369863015
0.6752283105022832,0.368345598457256,1.2921482341628177,0.7739050161283544,0.6752283105022832
0.681826484018265,0.3769099785158477,1.303826705876002,0.766973091970938,0.6818264840182648
0.6884246575342466,0.38555121677873466,1.3154454495714143,0.760198760295085,0.6884246575342465
0.6950228310502283,0.39426892703718447,1.3270068414354275,0.7535756175290678,0.6950228310502282
0.7016210045662101,0.4030627384766485,1.3385131718983145,0.747097616216786,0.7016210045662101
0.7082191780821918,0.4119322951192642,1.3499666481609163,0.7407590412417357,0.7082191780821918
0.7148173515981736,0.4208772552830136,1.361369396714148,0.7345544878661422,0.7148173515981735
0.7214155251141553,0.429897291057452,1.3727234658419618,0.7284788414297622,0.7214155251141552
0.7280136986301371,0.4389920877958785,1.3840308280997624,0.7225272585676241,0.7280136986301371
0.7346118721461188,0.44816134362375637,1.3952933827614098,0.7166951498192523,0.7346118721461188
0.7412100456621006,0.45740476896316223,1.4065129582290385,0.7109781635137687,0.7412100456621005
0.7478082191780823,0.4667220860729966,1.4176913144008414,0.7053721708259388,0.7478082191780822
0.754406392694064,0.4761130286046696,1.4288301449928018,0.6998732519077961,0.7544063926940638
0.7610045662100458,0.4855773411729443,1.4399310798111005,0.6944776830090968,0.7610045662100458
0.7676027397260274,0.4951147789416024,1.45099568697257,0.6891819245076117,0.7676027397260274
0.7742009132420092,0.5047251072235855,1.4620254750711406,0.683982609777262,0.7742009132420091
0.7807990867579909,0.5144081010952475,1.4730218952887342,0.6788765348284148,0.7807990867579908
0.7873972602739727,0.5241635450243484,1.4839863434495002,0.6738606486603627,0.7873972602739727
0.7939954337899544,0.5339912325114133,1.4949201620166739,0.6689320442711685,0.7939954337899544
0.8005936073059361,0.5438909657440782,1.505824642031682,0.6640879502747308,0.8005936073059361
0.8071917808219179,0.5538625552640368,1.5167010249954043,0.6593257230791613,0.8071917808219178
0.8137899543378996,0.5639058196462119,1.5275505046917592,0.6546428395844022,0.8137899543378995
0.8203881278538814,0.5740205851897688,1.5383742289540052,0.6500368903605043,0.8203881278538814
0.8269863013698631,0.5842066856205963,1.5491733013743243,0.6455055732711543,0.8269863013698631
0.8335844748858449,0.5944639618048824,1.5599487829574241,0.6410466875099278,0.8335844748858448
0.8401826484018265,0.6047922614734172,1.5707016937190166,0.6366581280193682,0.8401826484018264
0.8467808219178082,0.6151914389562669,1.5814330142301698,0.6323378802653825,0.8467808219178081
0.85337899543379,0.625661354927458,1.5921436871085815,0.628084015341639,0.85337899543379
0.8599771689497717,0.6362018761593318,1.602834618457942,0.6238946853806301,0.8599771689497717
0.8665753424657535,0.6468128752862277,1.6135066792565764,0.6197681192498999,0.8665753424657534
0.8731735159817352,0.6574942305771647,1.624160706696634,0.6157026185135898,0.8731735159817351
0.879771689497717,0.6682458257172001,1.634797505475106,0.611696553640984,0.879771689497717
