t,d_energy,T_energy,u_order,u_exc,d_thermal,T_thermal,u_thermal,entropy,u_naive
10.248,0.8778365355279323,0.7573027916670537,0.013156436039824197,0.19836512646017584,0.8778365355275819,0.7573027916680692,0.21152156250067317,0.5238726930439908,0.012192000192910297
10.252,0.8778365355614598,0.7573027916928299,0.013156436033072481,0.19836512646692758,0.8778365355611094,0.7573027916938454,0.21152156250067314,0.5238726930439908,0.012192000191397668
10.256,0.8778365355947269,0.7573027917184058,0.013156436026373218,0.19836512647362678,0.8778365355943765,0.7573027917194213,0.21152156250067314,0.5238726930439906,0.0121920001898969
10.26,0.8778365356277354,0.7573027917437831,0.013156436019726,0.19836512648027407,0.8778365356273851,0.7573027917447984,0.21152156250067308,0.5238726930439908,0.012192000188407898
10.264,0.8778365356604875,0.7573027917689631,0.013156436013130459,0.19836512648686963,0.8778365356601371,0.7573027917699784,0.21152156250067305,0.5238726930439908,0.012192000186930575
10.268,0.877836535692985,0.7573027917939473,0.013156436006586149,0.1983651264934139,0.8778365356926346,0.7573027917949627,0.2115215625006731,0.5238726930439908,0.012192000185464834
10.272,0.8778365357252301,0.7573027918187376,0.013156436000092687,0.19836512649990737,0.8778365357248797,0.757302791819753,0.21152156250067314,0.5238726930439908,0.012192000184010586
10.276,0.8778365357572246,0.7573027918433352,0.01315643599364968,0.19836512650635033,0.8778365357568743,0.7573027918443507,0.21152156250067317,0.5238726930439906,0.01219200018256774
10.28,0.8778365357889706,0.7573027918677416,0.013156435987256743,0.19836512651274327,0.8778365357886202,0.7573027918687572,0.21152156250067314,0.5238726930439906,0.012192000181136206
10.284,0.8778365358204698,0.7573027918919584,0.013156435980913471,0.19836512651908653,0.8778365358201194,0.757302791892974,0.2115215625006732,0.5238726930439906,0.0121920001797159
10.288,0.8778365358517244,0.7573027919159872,0.013156435974619482,0.19836512652538052,0.877836535851374,0.7573027919170027,0.21152156250067317,0.5238726930439906,0.01219200017830673
10.292,0.8778365358827361,0.7573027919398292,0.01315643596837439,0.19836512653162564,0.8778365358823857,0.7573027919408447,0.21152156250067314,0.5238726930439906,0.01219200017690861
10.296,0.8778365359135069,0.7573027919634859,0.013156435962177833,0.19836512653782223,0.8778365359131565,0.7573027919645015,0.21152156250067317,0.5238726930439908,0.012192000175521453
10.3,0.8778365359440385,0.7573027919869588,0.01315643595602941,0.1983651265439706,0.8778365359436882,0.7573027919879743,0.2115215625006731,0.5238726930439906,0.012192000174145172
10.304,0.877836535974333,0.7573027920102495,0.013156435949928767,0.19836512655007132,0.8778365359739826,0.7573027920112649,0.21152156250067317,0.5238726930439908,0.012192000172779683
10.308,0.877836536004392,0.757302792033359,0.013156435943875522,0.19836512655612448,0.8778365360040417,0.7573027920343746,0.2115215625006732,0.5238726930439906,0.0121920001714249
10.312,0.8778365360342175,0.7573027920562891,0.013156435937869316,0.1983651265621307,0.8778365360338671,0.7573027920573046,0.21152156250067314,0.5238726930439906,0.012192000170080741
10.316,0.8778365360638113,0.7573027920790409,0.013156435931909771,0.19836512656809024,0.8778365360634609,0.7573027920800565,0.21152156250067314,0.5238726930439906,0.01219200016874712
10.32,0.8778365360931751,0.757302792101616,0.013156435925996529,0.19836512657400346,0.8778365360928247,0.7573027921026315,0.2115215625006731,0.5238726930439906,0.012192000167423956
10.324,0.8778365361223108,0.7573027921240159,0.01315643592012923,0.19836512657987085,0.8778365361219604,0.7573027921250312,0.21152156250067308,0.5238726930439908,0.012192000166111168
10.328,0.87783653615122,0.7573027921462413,0.013156435914307547,0.19836512658569247,0.8778365361508697,0.7573027921472568,0.2115215625006731,0.5238726930439906,0.012192000164808677
10.332,0.8778365361799046,0.7573027921682942,0.013156435908531085,0.19836512659146893,0.8778365361795543,0.7573027921693097,0.2115215625006731,0.5238726930439906,0.012192000163516393
10.336,0.8778365362083664,0.7573027921901758,0.013156435902799498,0.19836512659720054,0.877836536208016,0.7573027921911913,0.2115215625006731,0.5238726930439908,0.012192000162234247
10.34,0.8778365362366071,0.7573027922118875,0.013156435897112444,0.1983651266028876,0.8778365362362567,0.7573027922129029,0.2115215625006731,0.5238726930439908,0.012192000160962151
10.344,0.8778365362646282,0.7573027922334303,0.01315643589146959,0.19836512660853042,0.8778365362642778,0.7573027922344457,0.2115215625006731,0.5238726930439906,0.012192000159700029
10.348,0.8778365362924316,0.7573027922548058,0.013156435885870583,0.19836512661412944,0.8778365362920812,0.7573027922558212,0.21152156250067314,0.5238726930439906,0.012192000158447803
10.352,0.8778365363200191,0.7573027922760152,0.013156435880315061,0.198365126619685,0.8778365363196687,0.7573027922770306,0.2115215625006731,0.5238726930439908,0.012192000157205401
10.356,0.8778365363473922,0.7573027922970598,0.01315643587480271,0.19836512662519734,0.8778365363470418,0.7573027922980752,0.2115215625006731,0.5238726930439908,0.012192000155972738
10.36,0.8778365363745526,0.7573027923179408,0.013156435869333198,0.1983651266306668,0.8778365363742022,0.7573027923189563,0.21152156250067305,0.5238726930439906,0.012192000154749737
10.364,0.8778365364015019,0.7573027923386596,0.013156435863906182,0.19836512663609382,0.8778365364011516,0.7573027923396751,0.2115215625006731,0.5238726930439906,0.012192000153536333
10.368,0.8778365364282419,0.7573027923592175,0.01315643585852134,0.19836512664147865,0.8778365364278915,0.757302792360233,0.21152156250067314,0.5238726930439906,0.01219200015233244
10.372,0.8778365364547741,0.7573027923796156,0.013156435853178319,0.19836512664682168,0.8778365364544237,0.7573027923806311,0.2115215625006731,0.5238726930439906,0.012192000151137984
10.376,0.8778365364811002,0.7573027923998553,0.013156435847876825,0.19836512665212322,0.8778365364807498,0.7573027924008707,0.2115215625006731,0.5238726930439908,0.012192000149952902
10.38,0.8778365365072216,0.7573027924199376,0.01315643584261654,0.1983651266573835,0.8778365365068712,0.7573027924209531,0.21152156250067314,0.5238726930439908,0.012192000148777103
10.384,0.8778365365331401,0.757302792439864,0.01315643583739712,0.19836512666260292,0.8778365365327897,0.7573027924408794,0.2115215625006731,0.5238726930439906,0.012192000147610526
10.388,0.8778365365588572,0.7573027924596354,0.013156435832218245,0.1983651266677818,0.8778365365585068,0.7573027924606509,0.21152156250067314,0.5238726930439908,0.012192000146453096
10.392,0.8778365365843745,0.7573027924792534,0.013156435827079599,0.19836512667292047,0.8778365365840242,0.7573027924802688,0.2115215625006731,0.5238726930439908,0.012192000145304745
10.396,0.8778365366096936,0.7573027924987188,0.013156435821980887,0.19836512667801912,0.8778365366093432,0.7573027924997342,0.2115215625006731,0.5238726930439906,0.012192000144165396
10.4,0.877836536634816,0.757302792518033,0.013156435816921793,0.19836512668307826,0.8778365366344656,0.7573027925190484,0.2115215625006731,0.5238726930439908,0.01219200014303498
10.404,0.8778365366597431,0.7573027925371971,0.013156435811901998,0.198365126688098,0.8778365366593928,0.7573027925382125,0.21152156250067305,0.5238726930439906,0.012192000141913429
10.408,0.8778365366844766,0.7573027925562125,0.01315643580692122,0.19836512669307882,0.8778365366841262,0.7573027925572278,0.21152156250067305,0.5238726930439906,0.01219200014080067
10.412,0.8778365367090178,0.7573027925750799,0.013156435801979142,0.1983651266980209,0.8778365367086675,0.7573027925760952,0.21152156250067305,0.5238726930439906,0.012192000139696638
