Q,delta_usadel_kBTc,delta_allmaras_kBTc,I_usadel_uA,I_allmaras_usadel_uA,I_vodolazov_uA
6.148427672955973922e-01,1.433795914947026739e+00,1.312846469848079511e+00,3.870033437335455062e+01,3.501259529992588426e+01,3.990922183487898423e+01
6.207547169811320487e-01,1.426509866755296674e+00,1.302594156088254573e+00,3.875262883248521462e+01,3.493674868557256019e+01,3.997828009510315894e+01
6.266666666666665941e-01,1.419102635113681066e+00,1.292161221061162601e+00,3.879402657549331934e+01,3.484615581848480304e+01,4.003574511115799339e+01
6.325786163522011396e-01,1.411571066315969070e+00,1.281543253507103186e+00,3.882427668217715677e+01,3.474043307167740835e+01,4.008132005620625904e+01
6.384905660377357961e-01,1.403911788179821096e+00,1.270735615169874766e+00,3.884311504154909045e+01,3.461917618036335398e+01,4.011469570616983304e+01
6.444025157232703416e-01,1.396121187829575394e+00,1.259733424327958318e+00,3.885026299789262794e+01,3.448195842412464884e+01,4.013554957049847616e+01
6.503144654088049981e-01,1.388195386679032861e+00,1.248531537740725561e+00,3.884542583008330041e+01,3.432832867104215779e+01,4.014354494064774315e+01
6.562264150943395435e-01,1.380130212217610675e+00,1.237124530818822787e+00,3.882829104203213433e+01,3.415780928973885011e+01,4.013832984631476819e+01
6.621383647798742000e-01,1.371921166142634041e+00,1.225506675800037026e+00,3.879852643909154608e+01,3.396989394246524085e+01,4.011953590800409586e+01
6.680503144654087455e-01,1.363563388309235291e+00,1.213671917679368661e+00,3.875577796181217138e+01,3.376404528196368204e+01,4.008677707275835189e+01
6.739622641509432910e-01,1.355051615886287308e+00,1.201613847603659080e+00,3.869966724451970919e+01,3.353969258743980930e+01,4.003964821783475969e+01
6.798742138364779475e-01,1.346380137009527633e+00,1.189325673395859706e+00,3.862978886172312087e+01,3.329622939114610602e+01,3.997772360467257613e+01
6.857861635220124930e-01,1.337542738108939755e+00,1.176800186820369465e+00,3.854570722030049268e+01,3.303301116745463872e+01,3.990055516259330659e+01
6.916981132075471495e-01,1.328532643953036718e+00,1.164029727137022130e+00,3.844695304964847082e+01,3.274935318141915985e+01,3.980767057820225574e+01
6.976100628930816949e-01,1.319342449294576003e+00,1.151006140415079981e+00,3.833301943545504287e+01,3.244452862410172145e+01,3.969857116228358507e+01
7.035220125786162404e-01,1.309964040814853847e+00,1.137720733987054089e+00,3.820335733534622591e+01,3.211776719744472786e+01,3.957272946093542743e+01
7.094339622641508969e-01,1.300388507842102470e+00,1.124164225311923282e+00,3.805737050628630413e+01,3.176825435176690959e+01,3.942958657156543723e+01
7.153459119496854424e-01,1.290606040055544357e+00,1.110326684383729612e+00,3.789440976414640971e+01,3.139513142278848790e+01,3.926854911688806027e+01
7.212578616352200989e-01,1.280605810072278139e+00,1.096197468658941299e+00,3.771376648520980268e+01,3.099749696003413746e+01,3.908898582088230000e+01
7.271698113207546443e-01,1.270375838437714178e+00,1.081765149276989746e+00,3.751466524742988895e+01,3.057440958057082980e+01,3.889022361932954652e+01
7.330817610062891898e-01,1.259902838088378996e+00,1.067017427103493787e+00,3.729625549590978295e+01,3.012489271547525149e+01,3.867154322345786710e+01
7.389937106918238463e-01,1.249172034811098619e+00,1.051941036822475306e+00,3.705760210225209050e+01,2.964794163324844334e+01,3.843217403758968231e+01
7.449056603773583918e-01,1.238166959563229863e+00,1.036521636926129863e+00,3.679767467110151813e+01,2.914253311464193175e+01,3.817128830948145435e+01
7.508176100628930483e-01,1.226869207716718035e+00,1.020743682976875899e+00,3.651533542938738464e+01,2.860763810561180875e+01,3.788799436385923514e+01
7.567295597484275937e-01,1.215258159309144048e+00,1.004590280917879497e+00,3.620932551460628446e+01,2.804223757782579085e+01,3.758132873360705162e+01
7.626415094339621392e-01,1.203310653181062229e+00,9.880430164463611664e-01,3.587824945821651568e+01,2.744534166980253076e+01,3.725024695657695872e+01
7.685534591194967957e-01,1.191000606391078298e+00,9.710817554863641066e-01,3.552055763933709898e+01,2.681601196196256254e+01,3.689361274550827119e+01
7.744654088050313412e-01,1.178298568448215677e+00,9.536844095322243309e-01,3.513452646321054118e+01,2.615338645992253319e+01,3.651018515911940199e+01
7.803773584905659977e-01,1.165171197578777074e+00,9.358266579807769103e-01,3.471823599948627503e+01,2.545670653866332600e+01,3.609860329709307791e+01
7.862893081761005432e-01,1.151580643307271501e+00,9.174816173888206139e-01,3.426954479904899387e+01,2.472534476619786759e+01,3.565736790046746307e+01
7.922012578616350886e-01,1.137483815878299165e+00,8.986194446825844784e-01,3.378606159732738945e+01,2.395883222271624291e+01,3.518481904750528599e+01
7.981132075471697451e-01,1.122831518199107981e+00,8.792068574193215857e-01,3.326511361024940072e+01,2.315688371195254902e+01,3.467910887240240925e+01
8.040251572327042906e-01,1.107567409641971645e+00,8.592065488350149050e-01,3.270371114097529386e+01,2.231941917718635793e+01,3.413816786895975497e+01
8.099371069182389471e-01,1.091626762633129744e+00,8.385764679771838814e-01,3.209850824754952470e+01,2.144657972390497847e+01,3.355966282640043374e+01
8.158490566037734926e-01,1.074934961613485118e+00,8.172689247643607491e-01,3.144575928185290792e+01,2.053873692948378959e+01,3.294094370744508637e+01
8.217610062893080380e-01,1.057405678392386417e+00,7.952294648604225635e-01,3.074127120911851918e+01,1.959649456981016513e+01,3.227897570633188451e+01
8.276729559748426945e-01,1.038938636131879090e+00,7.723954374769351761e-01,2.998035176744080843e+01,1.862068246320301412e+01,3.157025113609692113e+01
8.335849056603772400e-01,1.019416843054373079e+00,7.486941468613692585e-01,2.915775374331163050e+01,1.761234274801395827e+01,3.081067339580283004e+01
8.394968553459118965e-01,9.987031313780699859e-01,7.240404290576971658e-01,2.826761593836620534e+01,1.657270948697158275e+01,2.999540156834154558e+01
8.454088050314464420e-01,9.766357685738021877e-01,6.983334188852267088e-01,2.730340180126692573e+01,1.550318295197568119e+01,2.911863835658108002e+01
8.513207547169809875e-01,9.530228025475860898e-01,6.714521491588943958e-01,2.625783721048002306e+01,1.440530023474716259e+01,2.817333459653609395e+01
8.572327044025156439e-01,9.276346348649063822e-01,6.432494204774381608e-01,2.512284952553350692e+01,1.328070393096296442e+01,2.715076779007256391e+01
8.631446540880501894e-01,9.001940415363709480e-01,6.135430294081387625e-01,2.388951076883557079e+01,1.213111057010245553e+01,2.603992487867201788e+01
8.690566037735848459e-01,8.703623943193192769e-01,5.821028127250084117e-01,2.254798862717862562e+01,1.095828024710264259e+01,2.482657081253860909e+01
8.749685534591193914e-01,8.377200098548408524e-01,5.486307719092239354e-01,2.108750980758699001e+01,9.763988605554963840e+00,2.349179371857050569e+01
8.808805031446540479e-01,8.017370219653071617e-01,5.127291359434800189e-01,1.949634103757820469e+01,8.550001977904777561e+00,2.200963980003347942e+01
8.867924528301885934e-01,7.617281639120018211e-01,4.738459807377075061e-01,1.776179350451651118e+01,7.318056150932741311e+00,2.034308281036544486e+01
8.927044025157231388e-01,7.167785137735990242e-01,4.311754442608083937e-01,1.587025657207132490e+01,6.069838927160389197e+00,1.843675571177162809e+01
8.986163522012577953e-01,6.656127010587373771e-01,3.834552355386808831e-01,1.380726595278088631e+01,4.806976413354111521e+00,1.620290200840896588e+01
9.045283018867923408e-01,6.063425792496153210e-01,3.284919713582636902e-01,1.155760992593456216e+01,3.531022792327660031e+00,1.349173692850327200e+01
9.104402515723269973e-01,5.359154981919398431e-01,2.617621754340088702e-01,9.105474525000897046e+00,2.243453220924256364e+00,1.002130941418280763e+01
9.163522012578615428e-01,4.486578693615572155e-01,1.699273414884906741e-01,6.434624907523344817e+00,9.456594368413799856e-01,5.182937626046809854e+00
9.222641509433960882e-01,3.309138393611099072e-01,0.000000000000000000e+00,3.528615652733174013e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.281761006289307447e-01,1.068863519662783396e-01,0.000000000000000000e+00,3.710181016787320041e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.340880503144652902e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.399999999999999467e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
