nodes,time,left_energy,right_energy,left_native_R2_energy,right_native_R2_energy,energy_residual,quasiparticle_count
513,1.85,0.49650274467364675,0.05982862787952315,0.4964945235158472,0.05983484328435585,-1.1102230246251565e-16,0.770293926676976
513,1.9000000000000001,0.4952963953005295,0.06103497725264046,0.49528734082487574,0.06104132101981287,0.0,0.7702937361244726
513,1.9500000000000002,0.4941066395375652,0.062224733015604744,0.49409674999420117,0.06223120310966957,-1.1102230246251565e-16,0.7702935468490635
513,2.0,0.4929332349423718,0.06339813761079814,0.49292250859744274,0.06340473202019069,-1.1102230246251565e-16,0.7702933588402036
513,2.0500000000000003,0.49177594276153114,0.06455542979163881,0.49176437789775146,0.06456214652851057,0.0,0.7702931720874441
513,2.1,0.4906345278727762,0.06569684468039369,0.4906221227899736,0.06570368178044418,-1.1102230246251565e-16,0.7702929865804323
513,2.15,0.4895087587281054,0.06682261382506452,0.4894955117437411,0.06682956934737161,-1.1102230246251565e-16,0.7702928023089097
513,2.2,0.48839840729780754,0.06793296525536233,0.4883843167474752,0.06794003728221078,-1.1102230246251565e-16,0.7702926192627124
513,2.25,0.4873032490153852,0.06902812353778481,0.48728831325328587,0.06903531017449377,0.0,0.7702924374317689
513,2.3000000000000003,0.48622306272335797,0.07010830982981203,0.48620728012275555,0.07011560920456097,0.0,0.7702922568061003
513,2.35,0.48515763061993605,0.07117374193323385,0.48514099957359014,0.0711811521968874,-1.1102230246251565e-16,0.7702920773758177
513,2.4000000000000004,0.4841067382065456,0.0722246343466243,0.48408925712712514,0.07223215367255588,-1.1102230246251565e-16,0.7702918991311242
513,2.45,0.4830701742361943,0.07326119831697561,0.483051841556671,0.0732688249008902,-1.1102230246251565e-16,0.770291722062311
513,2.5,0.482047730662663,0.07428364189050692,0.48202854483668583,0.07429137395026282,-1.1102230246251565e-16,0.7702915461597586
513,2.5500000000000003,0.4810392025905101,0.07529216996265983,0.4810191620927613,0.07530000573808966,-1.1102230246251565e-16,0.7702913714139348
513,2.6,0.48004438822587475,0.07628698432729517,0.4800234915524071,0.07629492208002589,-1.1102230246251565e-16,0.7702911978153942
513,2.6500000000000004,0.47906308882806686,0.07726828372510298,0.47904133449662395,0.07727632173837556,-1.1102230246251565e-16,0.7702910253547776
513,2.7,0.4780951086619305,0.0782362638912394,0.4780724952122493,0.07824440046972768,-1.1102230246251565e-16,0.7702908540228114
513,2.75,0.4771402549509675,0.07919111760220238,0.4771167809450654,0.07919935107183151,-1.1102230246251565e-16,0.7702906838103053
513,2.8000000000000003,0.47619833783121085,0.08013303472195908,0.47617400185365516,0.08014136342972354,-1.1102230246251565e-16,0.7702905147081531
513,2.85,0.4752691703058332,0.08106220224733672,0.47524397096399595,0.0810706245611179,-1.1102230246251565e-16,0.7702903467073321
513,2.9000000000000004,0.4743525682004806,0.0819788043526893,0.47432650412477784,0.08198731866107282,-1.1102230246251565e-16,0.7702901797989001
513,2.95,0.47344835011931846,0.0828830224338515,0.47342141996343445,0.08289162714594435,0.0,0.770290013973997
513,3.0,0.47255633740177827,0.08377503515139174,0.47252853984287607,0.08378372869663916,0.0,0.7702898492238424
513,3.0500000000000003,0.47167635407999436,0.08465501847317555,0.4716476878189118,0.08466379930117794,-1.1102230246251565e-16,0.7702896855397366
513,3.1,0.47080822683691925,0.0855231457162506,0.4707786905983515,0.08553201229658026,-1.1102230246251565e-16,0.7702895229130571
513,3.1500000000000004,0.4699517849651056,0.08637958758806433,0.4699213774977748,0.08638853841008226,-1.1102230246251565e-16,0.7702893613352609
513,3.2,0.469106860326145,0.08722451222702489,0.4690755804029574,0.08723354579969775,-1.1102230246251565e-16,0.7702892007978815
513,3.25,0.46827328731075346,0.0880580852424165,0.4682411337289432,0.08806720009413357,0.0,0.7702890412925292
513,3.3000000000000003,0.46745090279949075,0.08888046975367908,0.4674178743807534,0.08888966443206955,-2.220446049250313e-16,0.7702888828108898
513,3.35,0.4666395461241068,0.08969182642906308,0.466605641714719,0.08970109950081337,-1.1102230246251565e-16,0.7702887253447246
513,3.4000000000000004,0.4658390590295008,0.0904923135236691,0.4658042775004308,0.09050166357434065,-1.1102230246251565e-16,0.7702885688858694
513,3.45,0.46504928563628717,0.09128208691688272,0.46501362588329326,0.09129151255073004,-1.1102230246251565e-16,0.7702884134262328
513,3.5,0.46427007240395574,0.09206130014921408,0.46423353334767425,0.0920707999890032,-2.220446049250313e-16,0.7702882589577972
513,3.5500000000000003,0.46350126809461784,0.09283010445855208,0.46346384868064094,0.09283967714537927,-1.1102230246251565e-16,0.7702881054726167
513,3.6,0.4627427237373277,0.09358864881584225,0.46270442293627156,0.09359829300895345,0.0,0.7702879529628172
513,3.6500000000000004,0.4619942925929717,0.09433707996019818,0.4619551094005348,0.0943467943368088,-1.1102230246251565e-16,0.7702878014205955
513,3.7,0.4612558301197145,0.09507554243345549,0.46121576355672605,0.09508532568857068,0.0,0.7702876508382184
513,3.75,0.4605271939389929,0.095804178614177,0.4604862430514535,0.09581402946041265,-1.1102230246251565e-16,0.7702875012080219
513,3.8000000000000003,0.4598082438020512,0.09652312875111871,0.4597664076611634,0.09653304591852287,-1.1102230246251565e-16,0.7702873525224112
513,3.85,0.4590988415570054,0.09723253099616443,0.4590561192591969,0.0972425132320396,-1.1102230246251565e-16,0.7702872047738601
513,3.9000000000000004,0.45839885111643136,0.09793252143673851,0.45835524178336917,0.09794256750546447,-1.1102230246251565e-16,0.7702870579549088
513,3.95,0.45770813842546526,0.09862323412770463,0.45766364120406255,0.09863334281056198,-1.1102230246251565e-16,0.7702869120581655
513,4.0,0.4570265714304109,0.099304801122759,0.45698118549282624,0.09931497121775344,-1.1102230246251565e-16,0.7702867670763033
