comparison,family,cell,time,absolute,reference_norm,relative_percent,original_norm_score,comparison_defined,roundoff_limited,undefined_checkpoints,final_relative_percent,initial_relative_percent
two_time_640_vs_1280,phonon_energy,1,1.765625,9.629661651411325e-12,0.002425740756100176,3.9697818603224425e-07,3.969781860322442e-09,True,False,0,3.874203975347946e-07,0.0
two_time_640_vs_1280,escape,all,1.2437500000000001,8.78365262468872e-11,0.010717029769827132,8.195976696284201e-07,8.1959766962842e-09,True,False,0,6.969204287101278e-07,
two_time_640_vs_1280,escape,0,1.2437500000000001,8.78365262468872e-11,0.010717029769827132,8.195976696284201e-07,8.1959766962842e-09,True,False,0,6.969204287101278e-07,
two_time_640_vs_1280,escape,1,0.41250000000000003,2.2486917181292233e-14,2.1284635039409605e-07,1.0564859176423059e-05,1.0564859176423059e-07,True,False,0,2.633839874280201e-06,
two_time_640_vs_1280,input,all,0.0,0.0,0.0,,0.0,True,True,0,3.087807787238962e-12,
two_time_640_vs_1280,input,0,0.0,0.0,0.0,,0.0,True,True,0,3.087807787238962e-12,
two_time_640_vs_1280,input,1,0.0,0.0,0.0,,0.0,True,True,0,,
two_time_640_vs_1280,electron_to_phonon,all,0.018750000000000003,1.0733961354307542e-10,0.0007299501656328809,1.4705060509166387e-05,1.4705060509166387e-07,True,False,0,1.024685683624954e-06,
two_time_640_vs_1280,electron_to_phonon,0,0.018750000000000003,1.0733961354307542e-10,0.0007299501656328809,1.4705060509166387e-05,1.4705060509166387e-07,True,False,0,1.024685683624954e-06,
two_time_640_vs_1280,electron_to_phonon,1,0.00625,4.029910487769225e-14,3.97907200243663e-09,0.001012776467804921,1.012776467804921e-05,True,False,0,1.495270270137437e-06,
two_time_640_vs_1280,condensate_heat,all,0.003125,1.8843267874865677e-12,0.00020870000924150714,9.028877355276153e-07,9.028877355276152e-09,True,False,0,1.4145775521686863e-07,
two_time_640_vs_1280,condensate_heat,0,0.003125,1.8843267874865677e-12,0.00020870000924150714,9.028877355276153e-07,9.028877355276152e-09,True,False,0,1.4145775521686863e-07,
two_time_640_vs_1280,condensate_heat,1,0.003125,9.498548747267606e-13,6.100994095960157e-06,1.55688541864959e-05,1.55688541864959e-07,True,False,0,4.257983371500166e-07,
two_time_640_vs_1280,transport,all,0.003125,5.164151712592352e-13,7.323721357373298e-05,7.051267327904608e-07,7.051267327904608e-09,True,False,0,2.966199814459369e-07,
two_time_640_vs_1280,electronic_population,all,0.8187500000000001,1.6895714020543763e-09,0.5231804980896161,3.229423512963146e-07,3.2294235129631457e-09,True,False,0,1.8247651826338301e-07,0.0
two_time_640_vs_1280,electronic_population,0,0.8187500000000001,1.5795197631478196e-09,0.5030753525120326,3.1397279856004086e-07,3.1397279856004085e-09,True,False,0,1.669282569149356e-07,0.0
two_time_640_vs_1280,electronic_population,1,0.040625,1.2557417743512017e-11,0.0014650153526579498,8.571526380750434e-07,8.571526380750434e-09,True,False,0,3.2563214927375506e-07,0.0
two_time_640_vs_1280,phonon_population,all,0.7406250000000001,1.639141526357869e-07,0.05811600728072488,0.00028204647962825843,2.8204647962825843e-06,True,False,0,0.0002228457556619542,0.0
two_time_640_vs_1280,phonon_population,0,0.7406250000000001,1.6390890231089522e-07,0.05221770425342081,0.00031389526723622183,3.138952672362218e-06,True,False,0,0.00024895763145267103,0.0
two_time_640_vs_1280,phonon_population,1,1.64375,1.0629422680184384e-11,0.006127888558411095,1.734597909029288e-07,1.734597909029288e-09,True,False,0,1.6357329494821965e-07,0.0
two_guarded_pair_320_640,amplitudes,all,2.0,2.284368916249946e-09,0.9763435167933744,2.3397184259004933e-07,2.3397184259004934e-09,True,False,0,2.3397184259004933e-07,0.0
two_guarded_pair_320_640,amplitudes,0,2.0,2.284368916249946e-09,0.7490601300475743,3.0496469170036604e-07,3.0496469170036603e-09,True,False,0,3.0496469170036604e-07,0.0
two_guarded_pair_320_640,amplitudes,1,0.34375,5.236628908278362e-10,0.9577353517724458,5.4677201782174213e-08,5.467720178217421e-10,True,False,0,6.753489373501633e-10,0.0
