t_s,Ib_A,Is_A,vc_V,Vload_V,Vnode_V,Vdev_V,Ucircuit_J,Vload_simple_V
1.354499999999999986e-08,2.000027776525854949e-05,2.130306385840359022e-05,6.241962561985049413e-05,-6.513930465725203652e-05,-2.719679037401542387e-06,0.000000000000000000e+00,2.024694684756499657e-16,2.202285662861180882e-18
1.355000000000000222e-08,2.000027747554200568e-05,2.130170472818260750e-05,6.235452029211437086e-05,-6.507136263203009091e-05,-2.716842339915720049e-06,0.000000000000000000e+00,2.024687669810128128e-16,2.202285662861180882e-18
1.355500000000000127e-08,2.000027718612764258e-05,2.130034701557055122e-05,6.228948287096464813e-05,-6.500349147214542524e-05,-2.714008601180777102e-06,0.000000000000000000e+00,2.024680666597041482e-16,2.202285662861180882e-18
1.356000000000000032e-08,2.000027689701514846e-05,2.129899071908881693e-05,6.222451328557293234e-05,-6.493569110368342375e-05,-2.711177818110491406e-06,0.000000000000000000e+00,2.024673675095794290e-16,2.202285662861180882e-18
1.356500000000000268e-08,2.000027660820420485e-05,2.129763583726034521e-05,6.215961146518473180e-05,-6.486796145280701825e-05,-2.708349987622286448e-06,0.000000000000000000e+00,2.024666695284980317e-16,2.202285662861180882e-18
1.357000000000000174e-08,2.000027631969450003e-05,2.129628236860961143e-05,6.209477733911936191e-05,-6.480030244575556327e-05,-2.705525106636201354e-06,0.000000000000000000e+00,2.024659727143237703e-16,2.202285662861180882e-18
1.357500000000000079e-08,2.000027603148571892e-05,2.129493031166263597e-05,6.203001083676983670e-05,-6.473271400884585245e-05,-2.702703172076015748e-06,0.000000000000000000e+00,2.024652770649244031e-16,2.202285662861180882e-18
1.357999999999999984e-08,2.000027574357754641e-05,2.129357966494697401e-05,6.196531188760281462e-05,-6.466519606847137319e-05,-2.699884180868558571e-06,0.000000000000000000e+00,2.024645825781718052e-16,2.202285662861180882e-18
1.358500000000000220e-08,2.000027545596967080e-05,2.129223042699171896e-05,6.190068042115855792e-05,-6.459774855110240153e-05,-2.697068129943843611e-06,0.000000000000000000e+00,2.024638892519420673e-16,2.202285662861180882e-18
1.359000000000000125e-08,2.000027516866177698e-05,2.129088259632749567e-05,6.183611636705075643e-05,-6.453037138328593435e-05,-2.694255016235177916e-06,0.000000000000000000e+00,2.024631970841153968e-16,2.202285662861180882e-18
1.359500000000000031e-08,2.000027488165355665e-05,2.128953617148645702e-05,6.177161965496658178e-05,-6.446306449164502530e-05,-2.691444836678443518e-06,0.000000000000000000e+00,2.024625060725761428e-16,2.202285662861180882e-18
1.360000000000000267e-08,2.000027459494469132e-05,2.128819115100230090e-05,6.170719021466649766e-05,-6.439582780288047889e-05,-2.688637588213981227e-06,0.000000000000000000e+00,2.024618162152125245e-16,2.202285662861180882e-18
1.360500000000000172e-08,2.000027430853486588e-05,2.128684753341023627e-05,6.164282797598424630e-05,-6.432866124376851946e-05,-2.685833267784273155e-06,0.000000000000000000e+00,2.024611275099170016e-16,2.202285662861180882e-18
1.361000000000000077e-08,2.000027402242377542e-05,2.128550531724702051e-05,6.157853286882679421e-05,-6.426156474116225480e-05,-2.683031872335460595e-06,0.000000000000000000e+00,2.024604399545862489e-16,2.202285662861180882e-18
1.361499999999999982e-08,2.000027373661110821e-05,2.128416450105091531e-05,6.151430482317411536e-05,-6.419453822199036163e-05,-2.680233398816246268e-06,0.000000000000000000e+00,2.024597535471209104e-16,2.202285662861180882e-18
1.362000000000000218e-08,2.000027345109654916e-05,2.128282508336172394e-05,6.145014376907932674e-05,-6.412758161325873894e-05,-2.677437844179412206e-06,0.000000000000000000e+00,2.024590682854255990e-16,2.202285662861180882e-18
1.362500000000000124e-08,2.000027316587979335e-05,2.128148706272076421e-05,6.138604963666843080e-05,-6.406069484204854293e-05,-2.674645205380112131e-06,0.000000000000000000e+00,2.024583841674091922e-16,2.202285662861180882e-18
1.363000000000000029e-08,2.000027288096052229e-05,2.128015043767087855e-05,6.132202235614032904e-05,-6.399387783551781326e-05,-2.671855479377484213e-06,0.000000000000000000e+00,2.024577011909843395e-16,2.202285662861180882e-18
1.363500000000000265e-08,2.000027259633843104e-05,2.127881520675642730e-05,6.125806185776674071e-05,-6.392713052089980612e-05,-2.669068663133065413e-06,0.000000000000000000e+00,2.024570193540679304e-16,2.202285662861180882e-18
1.364000000000000170e-08,2.000027231201320790e-05,2.127748136852329204e-05,6.119416807189210789e-05,-6.386045282550420043e-05,-2.666284753612092537e-06,0.000000000000000000e+00,2.024563386545808973e-16,2.202285662861180882e-18
1.364500000000000075e-08,2.000027202798454115e-05,2.127614892151886549e-05,6.113034092893352778e-05,-6.379384467671621686e-05,-2.663503747782689076e-06,0.000000000000000000e+00,2.024556590904480431e-16,2.202285662861180882e-18
1.364999999999999981e-08,2.000027174425212588e-05,2.127481786429206162e-05,6.106658035938065780e-05,-6.372730600199679406e-05,-2.660725642616136263e-06,0.000000000000000000e+00,2.024549806595984352e-16,2.202285662861180882e-18
1.365500000000000217e-08,2.000027146081565036e-05,2.127348819539330891e-05,6.100288629379566139e-05,-6.366083672888292748e-05,-2.657950435087266089e-06,0.000000000000000000e+00,2.024543033599648638e-16,2.202285662861180882e-18
1.366000000000000122e-08,2.000027117767480629e-05,2.127215991337453677e-05,6.093925866281314026e-05,-6.359443678498653092e-05,-2.655178122173390662e-06,0.000000000000000000e+00,2.024536271894843341e-16,2.202285662861180882e-18
1.366500000000000027e-08,2.000027089482928872e-05,2.127083301678919927e-05,6.087569739714005304e-05,-6.352810609799552075e-05,-2.652408700855467716e-06,0.000000000000000000e+00,2.024529521460978208e-16,2.202285662861180882e-18
1.367000000000000263e-08,2.000027061227878595e-05,2.126950750419225142e-05,6.081220242755560013e-05,-6.346184459567327384e-05,-2.649642168117673712e-06,0.000000000000000000e+00,2.024522782277501685e-16,2.202285662861180882e-18
