t_over_tau,force_low_packet,force_high_packet
4.012500000000000178e+00,7.530688158717017966e-02,7.409016553219358037e-02
4.049999999999999822e+00,7.531044776539785879e-02,7.413851365329310328e-02
4.087499999999999467e+00,7.531388268835931266e-02,7.418508229364342843e-02
4.125000000000000000e+00,7.531719118698113058e-02,7.422993694806973020e-02
4.162499999999999645e+00,7.532037791438471463e-02,7.427314070082195741e-02
4.200000000000000178e+00,7.532344735243064193e-02,7.431475431429740430e-02
4.237499999999999822e+00,7.532640381802198359e-02,7.435483631449825437e-02
4.274999999999999467e+00,7.532925146917576753e-02,7.439344307334280759e-02
4.312500000000000000e+00,7.533199431087074516e-02,7.443062888794814425e-02
4.349999999999999645e+00,7.533463620068001076e-02,7.446644605699435926e-02
4.387500000000000178e+00,7.533718085419650878e-02,7.450094495427819763e-02
4.424999999999999822e+00,7.533963185025868703e-02,7.453417409955964690e-02
4.462499999999999467e+00,7.534199263598354013e-02,7.456618022680022717e-02
4.500000000000000000e+00,7.534426653161523102e-02,7.459700834989137219e-02
4.537499999999999645e+00,7.534645673519406450e-02,7.462670182596148338e-02
4.575000000000000178e+00,7.534856632705498602e-02,7.465530241635498498e-02
4.612499999999999822e+00,7.535059827415904743e-02,7.468285034536546740e-02
4.649999999999999467e+00,7.535255543426669367e-02,7.470938435680808676e-02
4.687500000000000000e+00,7.535444055995708934e-02,7.473494176850949133e-02
4.724999999999999645e+00,7.535625630249875861e-02,7.475955852479164443e-02
4.762500000000000178e+00,7.535800521557885212e-02,7.478326924702489997e-02
4.799999999999999822e+00,7.535968975889481558e-02,7.480610728232026108e-02
4.837499999999999467e+00,7.536131230161301209e-02,7.482810475042837861e-02
4.875000000000000000e+00,7.536287512570177816e-02,7.484929258891410975e-02
4.912499999999999645e+00,7.536438042913988500e-02,7.486970059666717137e-02
4.950000000000000178e+00,7.536583032900853740e-02,7.488935747581167146e-02
4.987499999999999822e+00,7.536722686446821473e-02,7.490829087207345749e-02
5.024999999999999467e+00,7.536857199962714027e-02,7.492652741366137570e-02
5.062500000000000000e+00,7.536986762630321079e-02,7.494409274871728643e-02
5.099999999999999645e+00,7.537111556668517343e-02,7.496101158138866738e-02
5.137500000000000178e+00,7.537231757589468728e-02,7.497730770657201615e-02
5.174999999999999822e+00,7.537347534445540398e-02,7.499300404337914949e-02
5.212499999999999467e+00,7.537459050067002453e-02,7.500812266737040546e-02
5.250000000000000000e+00,7.537566461291078657e-02,7.502268484160237727e-02
5.287499999999999645e+00,7.537669919182513056e-02,7.503671104653257540e-02
5.325000000000000178e+00,7.537769569246013934e-02,7.505022100882302594e-02
5.362499999999999822e+00,7.537865551630909544e-02,7.506323372908485503e-02
5.399999999999999467e+00,7.537958001328233515e-02,7.507576750860045500e-02
5.437500000000000000e+00,7.538047048360614621e-02,7.508783997506283947e-02
5.474999999999999645e+00,7.538132817965124965e-02,7.509946810736746470e-02
5.512500000000000178e+00,7.538215430769394654e-02,7.511066825949187786e-02
5.549999999999999822e+00,7.538295002961298286e-02,7.512145618349563847e-02
5.587499999999999467e+00,7.538371646452345087e-02,7.513184705167487432e-02
5.625000000000000000e+00,7.538445469035089108e-02,7.514185547790053210e-02
5.662499999999999645e+00,7.538516574534676051e-02,7.515149553817107586e-02
5.700000000000000178e+00,7.538585062954944460e-02,7.516078079041019211e-02
5.737499999999999822e+00,7.538651030619035465e-02,7.516972429353405150e-02
5.774999999999999467e+00,7.538714570304838603e-02,7.517833862581789484e-02
5.812500000000000000e+00,7.538775771375505474e-02,7.518663590258606311e-02
5.849999999999999645e+00,7.538834719905121440e-02,7.519462779325135349e-02
5.887500000000000178e+00,7.538891498799790702e-02,7.520232553772725204e-02
5.924999999999999822e+00,7.538946187914177810e-02,7.520973996223551117e-02
5.962499999999999467e+00,7.538998864163862224e-02,7.521688149453245598e-02
6.000000000000000000e+00,7.539049601633494857e-02,7.522376017857480834e-02
