delta_over_Delta0,q_ell0,gap_over_kBTc,current_uA
0.05,1.155,0.057249785338448614,0.13253959047680372
0.05,1.1700000000000002,0.05574255341043251,0.12544139719282646
0.05,1.185,0.054307257078048635,0.11889061794554456
0.05,1.2000000000000002,0.052935617149840075,0.11281975660482271
0.05,1.215,0.05162053796738271,0.10717200603398758
0.05,1.2300000000000002,0.05035587322448333,0.10189912560152367
0.05,1.245,0.0491362446489759,0.09695981393156768
0.05,1.26,0.04795689928287965,0.0923184437081469
0.05,1.2750000000000001,0.04681359545567081,0.08794406597604239
0.05,1.29,0.045702510124408985,0.08380961695229378
0.05,1.3050000000000002,0.0446201623684044,0.07989127958901038
0.05,1.32,0.04356334895950575,0.07616796396193448
0.05,1.3350000000000002,0.042529088942565726,0.07262088001886098
0.05,1.35,0.041514574747564814,0.06923318245894837
0.05,1.3650000000000002,0.04051712777032809,0.06598967215480271
0.05,1.3800000000000001,0.03953415660333248,0.06287654187196458
0.05,1.395,0.03856311619936567,0.05988115644732999
0.05,1.4100000000000001,0.037601466212544954,0.05699185928105901
0.05,1.425,0.0366466265785237,0.05419779814966611
0.05,1.4400000000000002,0.03569592798351208,0.051488763866676716
0.05,1.455,0.03474655428908014,0.04885503567446282
0.05,1.4700000000000002,0.033795472863724266,0.04628722653957134
0.05,1.485,0.03283934721918871,0.043776120676829164
0.05,1.5000000000000002,0.03187442369667062,0.04131249330202598
0.05,1.5150000000000001,0.030896379751170613,0.03888689896745831
0.05,1.53,0.029900114318206716,0.03648940839510926
0.05,1.5450000000000002,0.028879448568281514,0.0341092626487208
0.05,1.56,0.02782668338545221,0.03173439361330923
0.05,1.5750000000000002,0.026731918400587196,0.02935072289892478
0.05,1.59,0.025581954028445618,0.026941078637928523
0.05,1.6050000000000002,0.0243584177742408,0.024483416212090377
0.05,1.62,0.02303433021117538,0.021947676868623568
0.05,1.6350000000000002,0.021567191962253658,0.019289710167393462
0.05,1.6500000000000001,0.01988312900149954,0.016437960232018635
0.05,1.665,0.01783260708029201,0.013258363802467995
0.05,1.6800000000000002,0.015015179079497837,0.009426539858611608
0.05,1.695,0.008827559214302432,0.00326803021134239
0.05,1.7100000000000002,0.0,0.0
0.05,1.725,0.0,0.0
0.05,1.7400000000000002,0.0,0.0
0.05,1.7550000000000001,0.0,0.0
0.05,1.7700000000000002,0.0,0.0
0.05,1.7850000000000001,0.0,0.0
0.05,1.8,0.0,0.0
0.1,0.0,1.763876942523398,0.0
0.1,0.015000000000000001,1.763696748301566,1.3049028203574877
0.1,0.030000000000000002,1.7631560512373112,2.6085795556894364
0.1,0.045000000000000005,1.7622545076590923,3.9098032896201844
0.1,0.060000000000000005,1.760991543192166,5.2073454383072315
0.1,0.07500000000000001,1.7593663503588766,6.49997490473069
0.1,0.09000000000000001,1.757377885186045,7.7864572184397
0.1,0.10500000000000001,1.7550248627855722,9.065553655619311
0.1,0.12000000000000001,1.752305751863723,10.336020334084868
0.1,0.135,1.749218768103018,11.596607277479306
0.1,0.15000000000000002,1.7457618663479453,12.84605744253237
0.1,0.165,1.7419327315067055,14.083105702688458
0.1,0.18000000000000002,1.7377287680997333,15.306477781070274
0.1,0.195,1.7331470882662021,16.51488912417613
0.1,0.21000000000000002,1.72818449819152,17.707043708197737
0.1,0.225,1.7228374827142436,18.881632767321882
0.1,0.24000000000000002,1.7171021879663713,20.037333433088417
0.1,0.255,1.7109744018049282,21.172807271761272
0.1,0.27,1.7044495318207702,22.28669870556908
0.1,0.28500000000000003,1.6975225805426304,23.377633299916067
0.1,0.30000000000000004,1.6901881175771445,24.44421589811369
0.1,0.315,1.6824402481919092,25.48502857973793
0.1,0.33,1.6742725778672933,26.498628415775414
0.1,0.34500000000000003,1.6656781722462979,27.483544988753636
0.1,0.36000000000000004,1.6566495117040865,28.43827763819113
0.1,0.37500000000000006,1.6471784397415286,29.36129238571809
0.1,0.39,1.637256104095604,30.251018481890533
0.1,0.405,1.62687288932965,31.105844505360164
0.1,0.42000000000000004,1.6160183392409506,31.924113925685873
0.1,0.43500000000000005,1.6046810671817184,32.70412002161744
0.1,0.45,1.5928486517181863,33.44410001414215
0.1,0.465,1.580507514550201,34.14222823810022
0.1,0.48000000000000004,1.5676427765852108,34.7966081213362
0.1,0.49500000000000005,1.5542380869861967,35.40526267300253
0.1,0.51,1.5402754184178895,35.96612308867022
0.1,0.525,1.5257348195683,36.4770149525659
0.1,0.54,1.5105941131443512,36.93564134494258
0.1,0.555,1.4948285236070746,37.33956192753587
0.1,0.5700000000000001,1.4784102134264925,37.686166756228424
0.1,0.5850000000000001,1.4613076990399658,37.97264312502681
