delta_over_Delta0,q_ell0,H_phase_vacuum_at_fixed_a_0p6Delta0
0.05,0.9825125628140704,-0.45258953302060323
0.05,0.985678391959799,-0.47683288435927457
0.05,0.9888442211055277,-0.5011542264112689
0.05,0.9920100502512563,-0.5255535591765841
0.05,0.9951758793969849,-0.55003088265522
0.05,0.9983417085427136,-0.5745861968471797
0.05,1.0015075376884424,-0.5992195017524607
0.05,1.004673366834171,-0.6239307973710619
0.05,1.0078391959798996,-0.648720083702986
0.05,1.0110050251256282,-0.6735873607482317
0.05,1.0141708542713568,-0.6985326285067993
0.05,1.0173366834170854,-0.723555886978688
0.05,1.020502512562814,-0.7486571361638976
0.05,1.0236683417085426,-0.7738363760624299
0.05,1.0268341708542714,-0.799093606674286
0.05,1.03,-0.824428827999462
0.1,0.4,2.667788657793755
0.1,0.4031658291457287,2.6586736762374468
0.1,0.4063316582914573,2.6494868378535035
0.1,0.40949748743718595,2.640228142641925
0.1,0.4126633165829146,2.630897590602711
0.1,0.41582914572864327,2.621495181735862
0.1,0.4189949748743719,2.6120209160413776
0.1,0.42216080402010053,2.602474793519258
0.1,0.4253266331658292,2.5928568141695028
0.1,0.4284924623115578,2.583166977992112
0.1,0.43165829145728646,2.573405284987087
0.1,0.4348241206030151,2.563571735154426
0.1,0.4379899497487437,2.5536663284941294
0.1,0.4411557788944724,2.543689065006198
0.1,0.44432160804020104,2.5336399446906315
0.1,0.44748743718592965,2.523518967547429
0.1,0.4506532663316583,2.513326133576592
0.1,0.45381909547738697,2.5030614427781193
0.1,0.4569849246231156,2.492724895152011
0.1,0.46015075376884423,2.482316490698268
0.1,0.4633165829145729,2.4718362294168896
0.1,0.4664824120603015,2.461284111307876
0.1,0.46964824120603016,2.450660136371227
0.1,0.4728140703517588,2.4399643046069426
0.1,0.4759798994974875,2.4291966160150227
0.1,0.47914572864321614,2.4183570705954676
0.1,0.48231155778894474,2.4074456683482777
0.1,0.4854773869346734,2.3964624092734517
0.1,0.48864321608040207,2.385407293370991
0.1,0.49180904522613067,2.3742803206408953
0.1,0.49497487437185933,2.3630814910831632
0.1,0.498140703517588,2.351810804697797
0.1,0.5013065326633166,2.340468261484795
0.1,0.5044723618090452,2.329053861444158
0.1,0.5076381909547739,2.3175676045758853
0.1,0.5108040201005025,2.3060094908799775
0.1,0.5139698492462312,2.294379520356434
0.1,0.5171356783919598,2.2826776930052564
0.1,0.5203015075376884,2.270904008826442
0.1,0.523467336683417,2.259058467819994
0.1,0.5266331658291458,2.247141069985909
0.1,0.5297989949748744,2.2351518153241896
0.1,0.5329648241206031,2.2230907038348344
0.1,0.5361306532663317,2.2109577355178445
0.1,0.5392964824120603,2.198752910373219
0.1,0.542462311557789,2.186476228400958
0.1,0.5456281407035176,2.1741276896010624
0.1,0.5487939698492462,2.1617072939735316
0.1,0.5519597989949749,2.1492150415183646
0.1,0.5551256281407035,2.1366509322355625
0.1,0.5582914572864321,2.124014966125126
0.1,0.5614572864321609,2.1113071431870525
0.1,0.5646231155778895,2.0985274634213456
0.1,0.5677889447236182,2.085675926828002
0.1,0.5709547738693468,2.072752533407024
0.1,0.5741206030150754,2.0597572831584103
0.1,0.577286432160804,2.046690176082162
0.1,0.5804522613065327,2.0335512121782773
0.1,0.5836180904522613,2.020340391446758
0.1,0.58678391959799,2.0070577138876033
0.1,0.5899497487437186,1.993703179500813
0.1,0.5931155778894472,1.980276788286388
0.1,0.5962814070351758,1.9667785402443274
0.1,0.5994472361809046,1.9532084353746313
0.1,0.6026130653266332,1.9395664736773006
0.1,0.6057788944723619,1.9258526551523336
0.1,0.6089447236180905,1.912066979799732
0.1,0.6121105527638191,1.8982094476194955
0.1,0.6152763819095478,1.8842800586116226
0.1,0.6184422110552764,1.870278812776115
0.1,0.621608040201005,1.856205710112972
0.1,0.6247738693467337,1.8420607506221938
0.1,0.6279396984924623,1.8278439343037807
0.1,0.6311055276381909,1.8135552611577317
0.1,0.6342713567839197,1.7991947311840475
0.1,0.6374371859296483,1.7847623443827285
0.1,0.640603015075377,1.7702581007537732
0.1,0.6437688442211056,1.7556820002971836
0.1,0.6469346733668342,1.741034043012959
0.1,0.6501005025125628,1.7263142289010982
0.1,0.6532663316582915,1.7115225579616022
0.1,0.6564321608040201,1.6966590301944708
0.1,0.6595979899497488,1.6817236455997047
0.1,0.6627638190954774,1.6667164041773033
0.1,0.665929648241206,1.651637305927266
0.1,0.6690954773869346,1.6364863508495944
0.1,0.6722613065326634,1.6212635389442867
0.1,0.675427135678392,1.6059688702113437
0.1,0.6785929648241207,1.5906023446507653
0.1,0.6817587939698493,1.5751639622625524
0.1,0.6849246231155779,1.5596537230467036
0.1,0.6880904522613065,1.54407162700322
0.1,0.6912562814070352,1.5284176741321
0.1,0.6944221105527639,1.5126918644333454
0.1,0.6975879396984925,1.496894197906956
0.1,0.7007537688442211,1.4810246745529307
