T_over_Tc,delta_kBTc,Q,h,force_scaled_error,current_scaled_error,mixed_scaled_error
4.000000000000000222e-01,2.000000000000000000e+00,4.500000000000000111e-01,1.000000000000000021e-03,3.125277814319815661e-13,3.862130923380433828e-13,3.421620284121574739e-13
4.000000000000000222e-01,2.000000000000000000e+00,4.500000000000000111e-01,2.999999999999999737e-04,3.055111719163505768e-12,7.412339852948987451e-14,4.642350022998030581e-12
4.000000000000000222e-01,2.000000000000000000e+00,4.500000000000000111e-01,1.000000000000000048e-04,1.082678391384206407e-11,5.398262892905608857e-13,3.664974597406326028e-12
4.000000000000000222e-01,2.000000000000000000e+00,7.500000000000000000e-01,1.000000000000000021e-02,1.364883657786124588e-11,2.044034316983525666e-09,7.457415812655703297e-09
4.000000000000000222e-01,2.000000000000000000e+00,7.500000000000000000e-01,3.000000000000000062e-03,1.363147926069066133e-13,1.644479578799403842e-11,6.048801518052696056e-11
4.000000000000000222e-01,2.000000000000000000e+00,7.500000000000000000e-01,1.000000000000000021e-03,1.117152844789423492e-12,6.424715281582644963e-13,1.142837393270960709e-13
4.000000000000000222e-01,2.000000000000000000e+00,7.500000000000000000e-01,2.999999999999999737e-04,1.393373599073012662e-12,6.862916098254283354e-13,1.572859992000206670e-12
4.000000000000000222e-01,2.000000000000000000e+00,7.500000000000000000e-01,1.000000000000000048e-04,2.264381730538219646e-12,3.473717110073337854e-12,1.573031589209927649e-12
8.000000000000000444e-01,2.500000000000000000e-01,0.000000000000000000e+00,1.000000000000000021e-02,3.565809730821101198e-10,0.000000000000000000e+00,1.156482317317871478e-16
8.000000000000000444e-01,2.500000000000000000e-01,0.000000000000000000e+00,3.000000000000000062e-03,2.888647654408771359e-12,0.000000000000000000e+00,1.156482317317871331e-15
8.000000000000000444e-01,2.500000000000000000e-01,0.000000000000000000e+00,1.000000000000000021e-03,3.660960423701453692e-14,2.891205793294678326e-16,3.469446951953614189e-15
8.000000000000000444e-01,2.500000000000000000e-01,0.000000000000000000e+00,2.999999999999999737e-04,1.623701173514291440e-15,1.445602896647339311e-15,3.854941057726237900e-15
8.000000000000000444e-01,2.500000000000000000e-01,0.000000000000000000e+00,1.000000000000000048e-04,2.765843110097421231e-14,2.891205793294678228e-15,0.000000000000000000e+00
8.000000000000000444e-01,2.500000000000000000e-01,1.499999999999999944e-01,1.000000000000000021e-02,3.328917003164733046e-10,2.528832560022564735e-10,1.626721951586418413e-09
8.000000000000000444e-01,2.500000000000000000e-01,1.499999999999999944e-01,3.000000000000000062e-03,2.696842749116967752e-12,2.048593933379194709e-12,1.318245512749172121e-11
8.000000000000000444e-01,2.500000000000000000e-01,1.499999999999999944e-01,1.000000000000000021e-03,3.301525719479059262e-14,2.585778813291028655e-14,1.564026685940689276e-13
8.000000000000000444e-01,2.500000000000000000e-01,1.499999999999999944e-01,2.999999999999999737e-04,2.359223927328457648e-16,3.087807787238716628e-16,6.744604874597825983e-15
8.000000000000000444e-01,2.500000000000000000e-01,1.499999999999999944e-01,1.000000000000000048e-04,2.579880753472707511e-14,7.535638779643250018e-15,1.329769627744781246e-13
8.000000000000000444e-01,2.500000000000000000e-01,4.500000000000000111e-01,1.000000000000000021e-02,1.946552450476923823e-10,3.945868423671505809e-10,2.570440860161227192e-09
8.000000000000000444e-01,2.500000000000000000e-01,4.500000000000000111e-01,3.000000000000000062e-03,1.577796920892993171e-12,3.196873321620330444e-12,2.083672123731616921e-11
8.000000000000000444e-01,2.500000000000000000e-01,4.500000000000000111e-01,1.000000000000000021e-03,2.184537273297593174e-14,3.866351683257107652e-14,2.307043445171075291e-13
8.000000000000000444e-01,2.500000000000000000e-01,4.500000000000000111e-01,2.999999999999999737e-04,2.102484852883890198e-14,6.009082120783659775e-15,5.784261958297065576e-14
