nu_THz,alpha2F,phdos_as_supplied,cumulative_modes
3.163909999999999778e-01,3.362076999999999711e-86,2.844066000000000088e-05,2.999492056592112685e-06
3.180310000000000081e-01,3.362467999999999925e-86,2.873614000000000029e-05,3.046377032592113590e-06
3.196700000000000097e-01,3.362859000000000139e-86,2.903314999999999832e-05,3.093718965747113760e-06
3.201601000000000030e-01,3.362976000000000316e-86,2.912241999999999891e-05,3.107969988175613765e-06
3.213090000000000113e-01,3.367462000000000302e-86,2.933168999999999834e-05,3.141548951665114116e-06
3.229489999999999861e-01,3.373864999999999731e-86,2.963176000000000037e-05,3.189898980665113407e-06
3.245879999999999876e-01,3.380265000000000290e-86,2.993335000000000031e-05,3.238712588310113518e-06
3.262269999999999892e-01,3.386665000000000135e-86,3.023646999999999885e-05,3.288021755800113613e-06
3.278670000000000195e-01,3.393068000000000278e-86,3.054111999999999940e-05,3.337859379600114349e-06
3.295060000000000211e-01,3.399468000000000123e-86,3.084729999999999856e-05,3.388167189790114350e-06
3.301650999999999891e-01,3.402041000000000351e-86,3.097103000000000085e-05,3.408539420441613241e-06
