time,ue_0,ue_1,uph_0,uph_1,escape,total
7.250000000000000000e+00,5.368693206370762638e-01,3.320818777703572477e-01,5.753692153029715817e-02,4.334087268440077814e-03,1.694373479711121233e-01,1.100259555177282911e+00
7.375000000000000000e+00,5.367416285178976398e-01,3.327765172870397747e-01,5.605365474565172229e-02,4.380591857219218871e-03,1.703071627694746071e-01,1.100259555177282911e+00
7.500000000000000000e+00,5.365774291074197899e-01,3.334672602656342244e-01,5.463272595697510337e-02,4.427120538468839496e-03,1.711550193087849892e-01,1.100259555177282911e+00
7.625000000000000000e+00,5.363787953097809424e-01,3.341540130771394890e-01,5.327122933590570930e-02,4.473648572452878711e-03,1.719818688820038410e-01,1.100259555177282689e+00
7.750000000000000000e+00,5.361476977287651380e-01,3.348366895524250708e-01,5.196639773119166028e-02,4.520152052584354777e-03,1.727886181123166609e-01,1.100259555177282911e+00
7.875000000000000000e+00,5.358860095888651198e-01,3.355152105773315796e-01,5.071559604544374766e-02,4.566607898309130512e-03,1.735761310673334390e-01,1.100259555177282911e+00
8.000000000000000000e+00,5.355955114697841246e-01,3.361895037035346201e-01,4.951631486240720692e-02,4.612993847820864857e-03,1.743452312937361082e-01,1.100259555177282911e+00
8.125000000000000000e+00,5.352778957690408346e-01,3.368595027836707723e-01,4.836616443924796060e-02,4.659288448792724482e-03,1.750967037365306345e-01,1.100259555177283133e+00
8.250000000000000000e+00,5.349347709308404086e-01,3.375251476270735296e-01,4.726286901265311369e-02,4.705471047733521262e-03,1.758312965589822474e-01,1.100259555177282911e+00
8.375000000000000000e+00,5.345676654793722893e-01,3.381863836724764427e-01,4.620426136754539337e-02,4.751521778575952711e-03,1.765497228793129481e-01,1.100259555177283133e+00
8.500000000000000000e+00,5.341780318946962591e-01,3.388431616740319452e-01,4.518827761721119773e-02,4.797421551104611229e-03,1.772526624402390449e-01,1.100259555177283133e+00
8.625000000000000000e+00,5.337672503693797754e-01,3.394954373970010542e-01,4.421295214364227844e-02,4.843152039831415817e-03,1.779407632274283002e-01,1.100259555177282911e+00
