delta_over_Delta0,r_over_ell0,a_over_kBTc,q_delta_ell0,force_dimensionless,energy_excess_density,current_moment_dimensionless
0.05,1.9360940983145798e-05,3.415031738146006e-05,0.007744374823240197,-1.1427256992842354e-05,6.407174870875822,9.46199914235744e-05
0.05,1.954996426559562e-05,3.448373119084719e-05,0.007819984097846904,-1.1537176957502836e-05,6.40717487077613,9.554377820494892e-05
0.05,1.9740833005936152e-05,3.48204001608524e-05,0.007896331554553665,-1.1648121428300787e-05,6.4071748706744795,9.647658403191565e-05
0.05,1.9933565221602992e-05,3.5160356072014805e-05,0.007973424400304253,-1.1760098969522936e-05,6.407174870570839,9.741849695854141e-05
0.05,2.0128179105938256e-05,3.5503631015150954e-05,0.008051269912404149,-1.1873118186585062e-05,6.407174870465164,9.836960589857599e-05
0.05,2.0324693029907927e-05,3.585025739438404e-05,0.008129875439207462,-1.1987187725179403e-05,6.407174870357416,9.933000063384534e-05
0.05,2.0523125543836018e-05,3.6200267930202756e-05,0.008209248400810571,-1.2102316270377038e-05,6.407174870247554,0.0001002997718227264
0.05,2.0723495379155676e-05,3.655369566254999e-05,0.00828939628975252,-1.2218512545683056e-05,6.4071748701355355,0.00010127901100870521
0.05,2.0925821450177316e-05,3.691057395394164e-05,0.008370326671722264,-1.2335785312043055e-05,6.407174870021324,0.00010226781062901801
0.05,2.113012285587426e-05,3.727093649261625e-05,0.008452047186272892,-1.2454143366801085e-05,6.407174869904866,0.00010326626402337807
0.05,2.133641888168536e-05,3.763481729571461e-05,0.008534565547542639,-1.2573595542603383e-05,6.407174869786126,0.00010427446544278516
